Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name A Musical Instrument Thats Difficult To Play,Violin,34.0,Harp,14.0,Piano,14,Guitar,11.0,Flute,9.0,Trumpet,9.0,Oboe,5.0
Name Something A Child Might Sleep With,Teddy Bear,39.0,Blanket,31.0,Pillow,10,Parents,7.0,Doll,5.0,Night Light,4.0,Pacifier,3.0
What Places Are Most Likely To Get Tagged With Graffiti?,Subway Station,26.0,Overpass,23.0,TRains,22,Buildings,18.0,Billboards,4.0,Bathrooms,3.0,Parks,3.0
Name A Food That People Get Fed In A Romantic Situation.,Strawberries,38.0,Chocolate,17.0,Grapes,10,Steak,9.0,Oysters,9.0,Lobster,8.0,Pasta,7.0
Name Something A Woman Might Wish Her Husband Had More Of,Money,41.0,Hair,28.0,Time,7,Muscles,5.0,Love,5.0,Energy,3.0,Patience,3.0
Name A Fruit That You Rarely See Made Into Juice,Banana,42.0,Pear,14.0,Kiwi,13,Watermelon,12.0,Plum,6.0,Strawberry,5.0,Peach,5.0
If You Ordered A Pizza With “The Works” Name A Topping That Youd Expect.,Pepperoni,33.0,Onions,27.0,Mushrooms,14,Sausage,10.0,Olives,6.0,Anchovies,3.0,Peppers,3.0
Name A Hygiene Product That You Hope Your Office Mate Uses Every Day.,Soap,34.0,Deoderant,30.0,Toothpaste,19,Shampoo,5.0,Mouthwash,4.0,Hand Sanitizer,4.0,Perfume,3.0
Name Something You Would Hate To Find Under Your Bed,Monster,43.0,Snake,16.0,Rotting Food,12,Spider,10.0,Rodent,8.0,Dust,4.0,Person,3.0
Name Something That A Person Might Ask To Have Signed,Check,33.0,Photo,13.0,Contract,12,Shirt,11.0,Book,10.0,Ball,6.0,Petition,6.0
When You Donâ€™t Want To Get Out Of Bed In The Morning Name Something That Gets You Up Anyway,Alarm,35.0,Kids,31.0,Work,16,Pet,5.0,Hunger,4.0,Sunlight,4.0,Phone,3.0
Which Items Are Most Commonly Found In A Restaurants Lost-And-Found Box?,Keys,30.0,Glasses,16.0,Gloves,15,Umbrella,10.0,Jacket,7.0,Wallet,6.0,Phone,5.0
Name Something In Your House That Youd Hate To Find Wasnt Working,TV,41.0,Refrigerator,14.0,Toilet,12,Stove,9.0,Computer,8.0,Washing Machine,7.0,Phone,6.0
Tell Me Something You Might Find In A Nurses Pocket.,Pen,45.0,Thermometer,18.0,Syringe,11,Watch,9.0,Stethoscope,7.0,Gloves,5.0,Pills,3.0
Name A Job Which Might Require Someone To Work On Christmas.,Nurse,22.0,Doctor,17.0,Work In Store,15,Police,15.0,Santa Claus,8.0,Restaurant,5.0,Pilot,4.0
Name Something YouD Expect To See A Lot Of In Hawaii,Beaches,25.0,Flower Necklace,25.0,Palm Trees,15,Water,9.0,Hula Dancers,7.0,Girls In Bikinis,7.0,Pineapples,7.0
Name An Activity Kids Do In The Car That They Can Also Do At Home.,Read,22.0,Sing,21.0,Coloring Books,17,Sleep,11.0,Watch TV,9.0,Eat,6.0,Play Games,5.0
Name Something You Can Use To Get Your Car Out Of The Snow.,Shovel,55.0,Tow Truck,13.0,Chains,9,Salt,8.0,Sand,7.0,Cat Litter,4.0,Plow,3.0
Name A Famous Dog,Lassie,43.0,Snoopy,17.0,Benji,9,Scooby Doo,7.0,Rin Tin Tin,6.0,Clifford,5.0,Pluto,4.0
Name Something You Might See At A Crime Scene,Blood,22.0,Police,20.0,Body,19,Yellow Tape,14.0,Chalk Outline,8.0,Dog,6.0,Police Car,6.0
Name Something That Even A Very Small Town Usually Has One Of,Gas Station,25.0,Post Office,21.0,Bank,15,Church,14.0,Grocery Store,9.0,Bar,8.0,Police Station,4.0
Tell Me A Place You Would Dread Being When Your Laxative Kicks In,Work,40.0,Church,21.0,School,10,Car,9.0,Movies,9.0,Airplane,5.0,Pool,4.0
Which Foods Are You Most Likely To Grab For A Late Night Snack?,Chips,39.0,Cookies,24.0,Ice Cream,11,Pizza,10.0,Sandwich,8.0,Cereal,5.0,Popcorn,3.0
Name Something Kids Love To Eat That Adults Like Too.,Ice Cream,30.0,Candy,18.0,Pizza,16,Cookies,9.0,Hot Dog,8.0,French Fries,7.0,Popsicle,7.0
Tell Me Who Was At The Door The Last Time You Pretended Not To Be Home.,Salesperson,29.0,Collections/Landlord,19.0,Parents/In Laws,12,Neighbor,12.0,Cops,10.0,Friend,10.0,Postal Worker,6.0
Name Something Youd Be Disappointed To Find Your Computer Came Without,Monitor,26.0,Mouse,25.0,Keyboard,16,Speakers,10.0,Internet Capability,5.0,Windows,4.0,Power Cord,3.0
In Movies Name An Occupation Thats Almost Always Played By Men,Doctor,43.0,Cop,24.0,Lawyer,18,Detective,5.0,Cowboy,4.0,Firefighter,3.0,President,3.0
Which Class Do Students Take In College Thinking It Would Be An Easy “A”?,Art,33.0,English,26.0,Gym,24,Music,5.0,Cooking,4.0,Drama,3.0,Psychology,3.0
Name A Kitchen Item That Might Be Used To Make Lava On A Volcano Model,Baking Soda,32.0,Ketchup,32.0,Jell O,8,Water,7.0,Soda,5.0,Tomato Sauce,5.0,Pudding,4.0
Name A Professional Football Team Thats Named For An Animal.,Bears,39.0,Dolphins,13.0,Lions,12,Eagles,11.0,Panthers,7.0,Colts,6.0,Rams,5.0
Name Something That Both Men And Women Use To Get Ready For A Date,Shower,34.0,Fragrance,26.0,Comb,15,Toothpaste/Brush,9.0,Deodorant,5.0,Mirror,4.0,Razor,4.0
Name Something Kids Do Over Their Summer Vacation,Swim,32.0,Play,24.0,Go To Camp,17,Sleep In,12.0,Travel,5.0,Watch TV,3.0,Read,3.0
Name Something A Drive-Thru Worker Might Forget To Give You That Would Be Annoying.,Straw,26.0,Change,20.0,Napkins,19,Ketchup,13.0,Food,11.0,Drink,7.0,Receipt,3.0
What Do Parents Most Like To Receive From Their Children?,Hugs,37.0,Love,23.0,Kisses,11,Good Grades,8.0,Artwork,6.0,Cards,6.0,Respect,5.0
Name A Specific Type Of Business That Usually Has An ATM Inside,Bank,29.0,Grocery Store,22.0,Gas Station,20,Convenience Store,15.0,Bar,4.0,Casino,4.0,Restaurant,3.0
Name A Place That Gets Crowded At The End Of A Work Day,Bar,26.0,Highway,20.0,Bank,18,Public Transit,9.0,Shopping Center,9.0,Grocery Store,7.0,Restaurant,6.0
Name Something Politicians Always Say Theyll Improve,Tax System,25.0,Budget Deficit,21.0,Health Care,17,Schools,14.0,War,9.0,Welfare,7.0,Roads,4.0
Name Something Specific A Person Might Do During An Argument That Makes Their Partner Really Angry,Raise Voice,36.0,Laugh,17.0,Curse,10,Walk Away,10.0,Ignore Them,9.0,Name Calling,4.0,Roll Eyes,4.0
Name A Game That Has A Specific Type Of Table,Pool,41.0,Poker,27.0,Ping Pong,10,Chess,7.0,Foosball,5.0,Monopoly,4.0,Roulette,3.0
Which Sports Are You Most Likely To Break An Arm Playing?,American Football,43.0,Hockey,17.0,Wrestling,14,Baseball,14.0,Basketball,5.0,Skiing,3.0,Rugby,3.0
What Hobby Or Activity Could Cause A Man To Have Missing Teeth?,Boxing,45.0,Hockey,33.0,Football,6,Drugs,5.0,Baseball,3.0,Wrestling,3.0,Rugby,3.0
Name Something Youd Expect To Find On A Pirates Ship,Pirates,36.0,Treasure,26.0,Parrot,16,Pirate Flag,7.0,Sword,5.0,Plank,4.0,Rum,3.0
Name An Occupation You Associate With Having A Positive Attitude,Teacher,31.0,Doctor,24.0,Customer Service,14,Food Server,8.0,Therapist,7.0,Nurse,5.0,Salesperson,5.0
Name A Type Of Business That Has Regular Customers,Restaurant,30.0,Grocery Store,19.0,Bar,17,Coffee Shop,13.0,Bank,9.0,Gas Station,5.0,Salon,4.0
Name Something Youd Never Forget To Do On Christmas Day,Exchange Gifts,39.0,Eat,20.0,Wake Up,14,Cook,12.0,Sing,4.0,Go To Church,3.0,Say Merry Christmas,3.0
Name A Public Place That You Can Almost Never Park Right In Front Of.,Hospital,26.0,Police Station,18.0,Courthouse,12,Shopping Center,11.0,Post Office,10.0,Bank,10.0,School,7.0
Name A Place Where You Dont Want Front Row Seats,Movie Theater,34.0,Place Of Worship,23.0,Concert,12,Funeral,10.0,Seaworld,7.0,Circus,4.0,School,3.0
Where Might You Be If Youre Sitting In A Cramped Spot For A Long Time?,Car,33.0,Airplane,30.0,Bus,19,Train,5.0,Church,4.0,Jail,3.0,School,3.0
Name A Cartoon Character Who Never Seems To Get Any Older,Mickey Mouse,24.0,Charlie Brown,23.0,Bart Simpson,15,Bugs Bunny,15.0,Dennis The Menace,8.0,Lisa Simpson,5.0,Scooby Doo,5.0
Tell Me Something That Is Impossible To Do With Freshly Painted Nails.,Eat,26.0,Type,23.0,Write,10,Cook,10.0,Get Dressed,10.0,Wash Dishes,9.0,Scratch An Itch,9.0
Name Something Youd Hate To Have Happen While Driving A New Car Home,Crash,54.0,Flat Tire,15.0,Break Down,13,Rain,6.0,Run Out Of Gas,4.0,Speeding Ticket,3.0,Scratch It,5.0
Name Something Found At The Bottom Of The Ocean,Sand,35.0,Fish,21.0,Seashells,12,Rock,10.0,Sunken Ship/ Treasure,9.0,Coral,5.0,Seaweed,5.0
Name A 2-Word Phrase That Includes The Word “Secret”,Secret Garden,26.0,Top Secret,21.0,Secret Agent,17,Secret Admirer/ Lover,14.0,Secret Service,6.0,Secret Santa,4.0,Secret Society,3.0
Name A Reason Why A Woman Wouldnt Change Her Last Name After Marrying.,Famous,34.0,Business Reasons,28.0,Family Connection,13,Believes In Keeping,8.0,Dislikes Husband’s,4.0,Too Much Paperwork,4.0,Shares It With Child,3.0
Name An Animal A Lion Likes To Eat,Deer,25.0,Zebra,24.0,Rabbit,20,Antelope,9.0,Gazelle,8.0,Mice,5.0,Sheep,5.0
Name Something Youd Find In A School Lost-And-Found Box.,Jacket,33.0,Hat,22.0,Gloves,16,Lunch Box,7.0,Glasses,7.0,Book,6.0,Shoes,5.0
Name Something Youd Be Surprised To Hear That A Celebrity Did For Herself,Cook,38.0,Clean,19.0,Style Her Hair,12,Drive,10.0,Laundry,7.0,Make Up,5.0,Shop,5.0
What Does A Child Do More Of Once They Become A Teenager?,Argue,30.0,Eat,14.0,Party,11,Sleep,10.0,Date,10.0,Talk On The Phone,8.0,Shop,5.0
Name Something Men Do Today But Probably Didnt Do 50 Years Ago.,Cook,50.0,Clean,15.0,Watch TV,14,Change Diapers,9.0,Use Computer,4.0,Use Cell Phone,3.0,Shop,3.0
Name Something You Do Each Day But You Never See Soap Opera Characters Doing.,Laundry,31.0,Clean,22.0,Eat,14,Go To Work,10.0,Go To Sleep,8.0,Use The Bathroom,7.0,Shop,5.0
Name Something A Person Might Accidentally Leave Behind In A Taxicab.,Purse/Wallet,36.0,Cell Phone,17.0,Coat,13,Keys,9.0,Briefcase/Suitcase,9.0,Umbrella,9.0,Shopping Bags,3.0
Name A Hobby Or Activity In Which Youd Love To Get Lessons From A Pro.,Golf,44.0,Tennis,19.0,Piano,10,Football,8.0,Playing Guitar,6.0,Dancing,6.0,Singing,4.0
Name Something Your Child Knows About You That You Hope Shes Not Telling Strangers,Age,42.0,Weight,26.0,Address,12,Phone Number,6.0,Income,4.0,Drinking Habits,3.0,Sleep Naked,3.0
Name Something About Which Many People Have Phobias.,Spiders,37.0,Heights,25.0,Snakes,14,Water,7.0,Darkness,6.0,Flying,4.0,Small Spaces,3.0
Name Something Youd Be Shocked To See A Celebrity Wear On The Red Carpet.,Jeans,38.0,Bikini,19.0,Birthday Suit,14,Shorts,7.0,Underwear,5.0,Sweats,4.0,Sneakers,4.0
Tell Me Something You Close Your Mouth To Try To Keep From Doing,Talking,22.0,Yawning,20.0,Laughing,18,Coughing,11.0,Sneezing,10.0,Snacking,9.0,Snoring,5.0
Name Something Specific That Piles Up Before You Can Get To It.,Laundry,28.0,Bills,23.0,Dishes,22,Trash,11.0,Mail,8.0,Leaves,4.0,Snow,3.0
Name A Piece Of Information Youd Be Surprised To Find On Someones Business Card.,Age,49.0,Home Address,14.0,Weight,18,Home Phone,7.0,Marital Status,6.0,Religon,5.0,Social Security,5.0
Name An Article Of Clothing That You Wouldnt Wear To Bed,Shoes,31.0,Jeans,23.0,Hat,14,Bra,9.0,Dress,8.0,Jacket,8.0,Socks,4.0
Name Something That Tastes Better Plain Than Fruit-Flavored,Water,43.0,Yogurt,25.0,Gum,11,Milk,10.0,Tea,3.0,Medicine,3.0,Soda,3.0
Name An Article Of Clothing Associated With A Foreign Country.,Kimono,30.0,Beret,18.0,Kilt,14,Serape,10.0,Poncho,8.0,Turban,8.0,Sombrero,7.0
Where Do You GoSpecificallyTo Find Peace And Quiet?,Library,36.0,Bedroom,26.0,Bathroom,15,Park,9.0,Church,7.0,Beach,3.0,Spa,3.0
Name A Kitchen Item That A Man Generally Does Not Own Until He Is Married,Blender,40.0,Toaster,22.0,Mixer,15,Dishwasher,11.0,Pan,4.0,Knife,4.0,Spatula,3.0
Name Something Embarrassing That Can Happen If You Laugh Too Hard.,Pass Gas,37.0,Wet Pants,30.0,Snort,13,Choke,6.0,Cry,6.0,Nose Runs,3.0,Spit,3.0
Other Than Coins Name Something People Collect,Stamps,38.0,Dolls,20.0,Cars,17,Rocks,12.0,Toys,4.0,Seashells,3.0,Spoons,3.0
What Might You Put In The Yard If You Had Nosey Neighbors?,Fence,51.0,Dog,27.0,Camera,5,Trees,4.0,Trespassing Sign,4.0,Bushes,3.0,Sprinkler,3.0
If You Could Describe Yourself As A Shape Name The Shape You Would Be?,Triangle,33.0,Circle,22.0,Square,14,Oval,9.0,Rectangle,9.0,Diamond,4.0,Star,3.0
Name Something More Than Difficult To Do When Driving A Car With Stick Shift,Eat/ Drink,52.0,Talk On Phone,22.0,Smoke,8,Change Gears,5.0,Stop,4.0,Park,3.0,Steer,3.0
Name Something California Has More Of Than Any Other State,People,19.0,Movie Stars,15.0,Earthquakes,15,Smog,13.0,Beach,11.0,Palm Trees,11.0,Sunshine,10.0
Name A Bad Job For Someone Whos Accident Prone,Driver,33.0,Construction,20.0,Police Officer,11,Food Service,10.0,Glass Maker,9.0,Window Washer,7.0,Surgeon,6.0
Name Something That Makes You Feel Better When Youre Having A Bad day.,Food,46.0,Drink,29.0,Hug,7,Friend,5.0,Music,4.0,Watching TV,3.0,Taking Bath,3.0
Name Something A Beauty Queen and A Figure Skater Have In Common,Pretty,36.0,Graceful,23.0,Skinny,11,Costumes,9.0,Makeup,7.0,In Shape,6.0,Talent,4.0
What Might Someone Do While Sleeping That Tells You Theyre Having A Nightmare?,Scream,50.0,Cry,16.0,Kick,6,Sweat,5.0,Thrash,5.0,Jump,3.0,Talk,3.0
What Might A Date Do In The First 5 Minutes That Tells You They Have Bad Manners?,Burp,40.0,Leave,15.0,Spit,14,Try To Kiss You,11.0,Swear,7.0,Not Open Door,7.0,Talk On Phone,3.0
If Adults Had Fight Like Toddlers Do What Might Your Spouse Do The Next Time You Disagreed?,Cry,30.0,Bite,24.0,Pull Hair,19,Pout,8.0,Throw Something,6.0,Scream,6.0,Tantrum,4.0
What Might You FInd In A Briefcase That Would Make You Think It Belonged To A Spy?,Weapon,44.0,Camera,18.0,Money,13,Magnifying Glass,8.0,Binoculars,6.0,Spy Glasses,4.0,Tape Recorder,4.0
Name Something Specific A Teen Might Do That Shows Theyre Rebelling,Try A Cigarette,35.0,Stay Out Late,19.0,Dye Hair,9,Run Away,8.0,Sneak Out,7.0,Talk Back,6.0,Tattoo,5.0
Name A Job That Youd Need A License To Do,Doctor,33.0,Truck Driver,17.0,Nurse,12,Taxi Driver,12.0,Bus Driver,9.0,Electrician,7.0,Teacher,5.0
Name Something A Leprechaun Would Have Made For Himself Out Of Gold,Necklace,21.0,Shoes,20.0,Hat,19,Ring,15.0,Clover,8.0,Pot,8.0,Teeth,5.0
Name Something That A Child Often Loses,Teeth,35.0,Toys,34.0,Money,13,Homework,7.0,Gloves,4.0,Jacket,3.0,Temper,3.0
Name The Worst Thing To Lose While On Vacation,Money,56.0,Passport,11.0,Luggage,10,Cellphone,7.0,ID/ License,6.0,Keys,4.0,The Kids,3.0
Name A Place Where Youd Find Colorful Neon Lights,Las Vegas,23.0,Theater,19.0,Times Square,18,Bar,16.0,Store,11.0,Motel,8.0,Theme Park,5.0
Name A Good Job For Someone Who Asks A Lot Of Questions.,Lawyer,27.0,Reporter,21.0,Telemarketer,17,Doctor,11.0,Detective,10.0,Teacher,6.0,Therapist,4.0
Name A Reason a Person Might Get Rid Of A Pet.,Moving,28.0,They Attack People,21.0,Not Housebroken,12,Too Messy,11.0,Chew Things,10.0,Sickness,8.0,They’re Allergic,8.0
Name Something Guests Do At A Wedding,Dance,37.0,Drink,21.0,Eat,17,Cry,11.0,Chat,5.0,THrow Rice,4.0,Toast The Couple,4.0
Name A Place You May Keep Your Keys While Swimming,Locker,47.0,Beach Bag,12.0,Purse,12,Pocket,9.0,Cars,6.0,Shoes,5.0,Towel,5.0
Name Something You Find In A Little Boys Pocket.,Rocks,26.0,Marbles,19.0,Frog,18,Dirt,10.0,Worms,8.0,Candy,7.0,Toy Car,7.0
Name Something Dogs Get More Excited About Than People.,Bones,27.0,Food,21.0,People,11,Treats,11.0,Other Dogs,11.0,Going For A Walk,7.0,Toys,7.0
Name Something That Might Be Lying On A Teenagers Floor,Clothes,39.0,Shoes,18.0,Books,15,Food,12.0,Magazines,4.0,CD’s,4.0,Trash,4.0
What Might You Find Out About A Job That Would Keep You From Accepting It?,Low Pay,37.0,Hours Are Bad,27.0,Mean Boss,11,Location,10.0,No Benefits,5.0,Dangerous,4.0,Travel A Lot,3.0
Which Orchestra Instrument Would Be Most Effective If You Wanted To Wake Someone Up?,Trumpet,40.0,Tuba,23.0,French Horn,17,Drums,7.0,Cymbals,5.0,Xylophone,3.0,Tromebone,3.0
Name Something Associated With A Teenage Girls Sleepover,Pillow Fight,25.0,Boys,18.0,Makeovers,18,Chitchat,12.0,Junk Food,8.0,Watching Movies,7.0,Truth or Dare,3.0
Name Something People Spend THeir Tax Returns On.,Car,33.0,Clothes,22.0,Bills,15,Vacation,12.0,Food,6.0,Furniture,4.0,TV,3.0
Name A Magazine You See At Supermarket Checkout Stands,National Enquirer,30.0,People,22.0,Star,12,Time,9.0,Cosmopolitan,8.0,Seventeen,8.0,TV Guide,6.0
Name A Cartoon Character Who Has Trouble Pronouncing Words,Daffy Duck,29.0,Porky Pig,24.0,Elmer Fudd,23,Donald Duck,9.0,Bugs Bunny,6.0,Sylvester,4.0,Tweety Bird,3.0
Which Terms For Weather Phenomena Could A Roller Coaster Be Named After?,Tornado,32.0,Hurricane,29.0,Twister,20,Thunder,6.0,Cyclone,5.0,Tsunami,3.0,Typhoon,3.0
What Do You Find Out About A Hotel Ahead Of Time When Deciding Whether To Stay There?,Price,39.0,Pool,22.0,Location,20,Star Rating,7.0,Includes Breakfast,5.0,Clean,3.0,Vacancy,3.0
Name A Specific Expense That Youd Save On If You Didnt Have Any Kids,Food,58.0,Clothes,18.0,Diapers,6,Education,5.0,Toys,5.0,Childcare,3.0,Vacation,3.0
Name Your Favorite Filling In A Valentines Day Chocolate.,Caramel,31.0,Cherry,30.0,Strawberry,13,Chocolate Creme,13.0,Nut,4.0,Peanut Butter,3.0,Vanilla,3.0
Name Something On A Car That Lets You Know The Owner Takes A Lot Of Pride In Their Ride.,Rims/Wheels,28.0,Shine,27.0,Paint Job,23,Bumper Sticker,8.0,Spoiler,6.0,Seat Covers,3.0,Vanity Plate,3.0
Name A Kind Of Doctor.,Pediatrician,20.0,Optometrist,18.0,Dentist,16,Podiatrist,14.0,Surgeon,13.0,Ob/Gyn,9.0,Veterinarian,7.0
Which Mans Name Are You Likely To Hear In Mafia Movie?,Tony,65.0,Don,9.0,Joey,7,Frank,5.0,Scarface,4.0,Al,4.0,Vinny,3.0
Name A Function You Have On Your Telephone That Your Child Doesnt Have On Their Tin Can Phone.,Redial,39.0,Speaker Phone,14.0,Call Waiting,14,Caller ID,11.0,Speed Dial,8.0,Mute,4.0,Voice Mail,3.0
Name Something That Wedding Ceremony Should Be Without,Bride,23.0,Minister,22.0,Rings,19,Music,12.0,Flowers,8.0,Groom,7.0,Vows,3.0
Name Something You See A Candidate Doing In TV Campaign Commercials,Talking,35.0,Making Promises,19.0,Shaking Hands,18,Smiling,14.0,Kissing Babies,6.0,Insulting Opponent,3.0,Waving,3.0
Tell Me A Characteristic Of A Man Whos Described As “Distinguished.”,Has Gray Hair,28.0,Has Facial Hair,17.0,Wealthy,13,Handsome,10.0,Smart,10.0,Tall,7.0,Wears A Suit,5.0
Name Something That People Like To Show Off,Car,26.0,Wealth,17.0,House,14,Kids,13.0,Body,12.0,New Clothes,8.0,Weeding Ring/ Jewelry,6.0
Finish This Sentence: Since I Got Married I Have More_____.,Money,29.0,Romance,24.0,Kids,20,Stress,11.0,Bills,5.0,Fun,4.0,Weight,4.0
What Can You Find Out About Person By Reading Their Bumper Stickers?,Religion,37.0,Politics,15.0,Sense Of Humor,13,Age,12.0,If They Have Kids,9.0,Male/ Female,9.0,Where They Live,3.0
Name An Ice Cream Topping That Every Ice Cream Shop Should Have,Chocolate/ Fudge,33.0,Sprinkles,27.0,Strawberry,13,Nuts,9.0,Cherry,8.0,Caramel,4.0,Whipped Cream,3.0
Name Someone Specific Youd Be Nervous About Lying To,Mother,31.0,Priest,23.0,God,13,Father,7.0,Husband,7.0,Friend,7.0,Wife,7.0
Name A Tv Show Past Or Present That Has A Womanâ€™S Name In The Title,Ally Mcbeal,25.0,Oprah Winfrey,22.0,Roseanne,19,Rosie O’donnell,9.0,Murphy Brown,7.0,I Love Lucy,7.0,Will & Grace,6.0
What Was Your Worst Nightmare About?,Death,29.0,Monster,26.0,Falling,24,Ghosts,9.0,Spiders,4.0,Clowns,4.0,Witches,3.0
Tell Me A Sign That Its Time To Enroll Your Dog In Obedience School,Not Housetrained,26.0,Bites People,17.0,Chews,15,Barks A Lot,12.0,Doesn’t Obey You,11.0,Runs Away,7.0,Won’t Come When Called,7.0
Name Something Youd Probably See At A Construction Site,Men,28.0,Hard Hats,16.0,Tractors,13,Big Trucks,12.0,Bulldozer,9.0,Hammers,9.0,Wood,7.0
Name A Public Place Where Youre Likely To Catch A Cold Or Flu Bug,School,41.0,Hospital,21.0,Airplane,10,Doctor’s Office,9.0,Public Transit,6.0,Shopping Center,6.0,Work,5.0
Name A Subject That Often Comes Up In Family Feud Question,Food,37.0,Family,32.0,Dating/ Marriage,9,Movies,6.0,Animals,5.0,Sports,5.0,Work,3.0
What Kinds Of Tasks Do We Now Handle Online That We Didnt Use To 10 Years Ago?,Banking,34.0,Paying Bills,28.0,Shopping,10,Emailing,7.0,Doing Taxes,6.0,Education,4.0,Working,4.0
Aside From Other Movie Stars Name A Common Profession For Movie Star Spouses.,Model,27.0,Director,21.0,Singer,14,Hollywood Manager,10.0,Athlete,6.0,Producer,5.0,Writer,4.0
Name A Hair Color That Isnt Natural.,Green,27.0,Bright Red,20.0,Blue,17,Purple,13.0,Orange,8.0,Pink,8.0,Yellow,3.0
Name A Food That A Parent Might Hide Their Childs Pill In To Get Them To Swallow It.,Ice Cream,38.0,Applesauce,22.0,Pudding,15,Peanut Butter,9.0,Jell O,8.0,Mashed Potatoes,3.0,Yogurt,3.0
Name A Cartoon Character Who Would Never Be Chosen To Narrate A Documentary.,Porky Pig,17.0,Daffy Duck,16.0,Bugs Bunny,15,Donald Duck,14.0,Elmer Fudd,12.0,Tweety,11.0,Yosemite Sam,10.0
Which Spooky Halloween Character Would You Hate To Run Into In A Dark Alley?,Jason,35.0,Dracula,23.0,Ghost,15,Witch,6.0,Frankenstein,6.0,Freddy Krueger,6.0,Zombie,5.0
After A Cop Pulls You Over What Might You Try To Do To Avoid Getting A Ticket,Cry,28.0,Flirt,26.0,Lie,18,Smile,8.0,Be Nice,8.0,Beg,6.0,Apologize,3.0
What Might A Kid Take Along If Hes Planning To Run Away From Home?,Clothes,36.0,Food,25.0,Money,15,Bedding,7.0,Toys,6.0,Backpack,5.0,Bike,3.0
Name An Event A Child Closes Their Eyes For,Sleep,51.0,Scary Movie,17.0,Shots,12,Making A Wish,7.0,Prayer,5.0,Roller Coaster,3.0,Hide And Seek,3.0
Besides Throwing Them Away Name Something You Can Do With Old Newspapers.,Recycle,46.0,Burn Them,21.0,Clean Windows,12,Wrap Gifts,8.0,Pack Dishes,5.0,Crafts,4.0,Line Bird Cage,3.0
Name A Famous Dog?,Lassie,43.0,Snoopy,17.0,Benji,9,Scoobie Doo,7.0,Rin Tin Tin,6.0,Clifford,5.0,Pluto,4.0
During An Argument What Might A Teen Do That Makes Their Parents Really Angry?,Yell,27.0,Swear,20.0,Slam Doors,18,Talk Back,13.0,Walk Away,10.0,Say I Hate You,5.0,Roll Eyes,5.0
Name A Food Someone Might Use More Than One Hand To Eat.,Pizza,18.0,Chicken,17.0,Hambugers,17,Ribs,13.0,Corn On The Cob,11.0,Watermelon,9.0,Sandwhich,8.0
Name Something You Try To Avoid Doing When Posing For A Photo.,Closing Eyes,35.0,Smiling,22.0,Laughing,12,Sneezing,10.0,Frowning,8.0,Moving,6.0,Slouching,5.0
Besides Music Name Something You Might Hear On A Morning Radio Show.,News,53.0,Talking,16.0,Weather,13,Jokes,5.0,Commercials,4.0,Traffic,4.0,Sports,3.0
Name Something You See In A Room That Tells You A Teenage Girl Lives There.,Posters,33.0,Color Pink,27.0,Makeup,15,Clothes,121.0,Diary,3.0,Magazines,3.0,Stuffed Animals,3.0
Name Something You Think America Or Americans Waste Money On.,War/Weapons,25.0,Lottery/ Gambling,24.0,Eating/Drinking,12,Cars/ Gasoline,10.0,Clothes/Shoes,8.0,Games/ Toys,6.0,Television,5.0
Tell Me Something You Put In An Emergency Road Kit.,Flares,35.0,Flashlight,33.0,First Aid Kit,12,Blanket,6.0,Car Jack,5.0,Water,5.0,Jumper Cables,4.0
What Do Some People Refuse To Go Swimming Without?,Bathing Suit,41.0,Sunscreen,16.0,Goggles,14,A Swim Cap,12.0,Float/ Inner Tube,7.0,Life Vest/ Floaties,5.0,A Friend,5.0
What Might A Date Do On Your Answering Machine That Would Keep You From Calling Them Back?,Say I Love You,28.0,Ramble,19.0,Shot,14,Cry,10.0,Beg For A Date,9.0,Say Wrong Name,8.0,Sing,6.0
Name Something That Prevents You From Seeing For Miles.,Fog,32.0,Precipitation,21.0,Trees,15,Darkness,13.0,Mountains,7.0,Buildings,4.0,Vision,3.0
Tell Me An article Of Clothing Worm By Both Men And Women,Jacket,24.0,Jeans,24.0,T-Shirt,15,hat,9.0,Earrings,8.0,Pants,8.0,Belts,6.0
What Might A Kid Take Along If Hes Planning To Run Away Fro Home?,Clothes,36.0,Food,25.0,Money,15,Bedding,7.0,Toys,6.0,backpack,5.0,Bike,3.0
Name A movie Based On A TV Show Or Skit,Charlie’s Angels,21.0,Bewitched,16.0,Wayne’s World,15,Duke’s Of Hazzard,14.0,Brady Bunch,13.0,Starsky and Hutch,7.0,Blues Brothers,6.0
Name A word YOu Might see Before Or After The Word “Wax”,Earwax,26.0,Carwax,18.0,Beeswax,14,Wax Museum,8.0,Hot Wax,8.0,Wax Paper,8.0,Candle wax,8.0
What Profession Would You Want Your Mate To Have Just Because Itd Be Useful Around The House,Plumber,27.0,Carpenter,25.0,Doctor,15,Housekeeper,13.0,Chef,7.0,Electrician,5.0,Mechanic,5.0
Name Something Youd Hate To Find Has Happened To Your Car While It was parked.,Hit By Another Car,43.0,Carjacked,17.0,Keyed,13,Broken Into,10.0,Flat Tire,5.0,Towed,4.0,Parking Ticket,3.0
Name Something That No Wedding Ceremony Should Be Without,Bride,23.0,Minister,22.0,rings,19,Music,12.0,Flowers,8.0,Grooms,7.0,Vows,3.0
